,index1,context,Label,혐오 대상,혐오대상(세부),cluster10,cluster20,cluster30
49,6901,대상 수산 목포시 고하대로 597번 길 1 010 3649 0583 061 244 1778 FAX 061 245 3539 신한 100 030 391697 김순희 기업 010 3649 0583 김순희 농협 355 0009 3059 63 김순희 입금자 성함이 다를 때는 미리 알려주세요 주문 댓글 작성하실 때 아래의 주문서를 복사하여 댓글란에 붙여 넣기하여 작성한 후 자물쇠 통 아이콘을 클릭하고 등록을 누르시면 비밀 댓글이 되어 개인정보가 노출되지 않습니다 첫 거래가 아니더라도 주문서 작성 시 지역 또는 아파트 명칭이라도 간단하게 남겨주시면 실수 없이 발송해드립니다 주문서 1 주문자 성함 연락처 2 구매 상품명 수량 3 받는 분 성함 연락처 4 배송지 주소 5 입금자 6 남기실 말씀 7 택배사는 cj대한통운 1588 1255 로젠택배 1588 9988 지정해주신 택배사로 보내드립니다 선물용일 경우에는 주문자나 보내시는 분의 성함도 알려주세요 뻘낙지 무안 신안 해남 뻘낙지입니다 얼치기 뻘낙지 무안 신안 뻘낙지 입니다 kg당 20 22마리 크기입니다 20마리 한접 78 000원 10마리 반접 42 000원 中뻘낙지 무안 신안 뻘낙지입니다 kg당 10 12미 크기입니다 20마리 한접 100 000원 10마리 반접 53 000원 中大뻘낙지 무안 신안 뻘낙지입니다 kg당 8 10미 크기입니다 20마리 한접126 000원 10마리 반접 66 000원 해남 특大뻘낙지 kg당 2 4미 정도의 크기입니다 20마리 한접 183 000원 10마리 반접 94 000원 5마리 50 000원 해남 특大뻘낙지 kg당 3 5마리로 굵습니다 무안 신안 大뻘낙지 kg당 7 8미 크기입니다 무안 신안 中뻘낙지 kg당 10 12미 크기입니다 얼치기 뻘낙지 kg당 20 22마리 크기입니다 세발뻘낙지 kg당 22 25마리 크기입니다 자연산 大활방어 7 9kg대 활방어로 입고 됩니다 주문서 남겨주시면 비슷한 무게로 보내드리므로 확인하시고 입금하세요 kg당 24 000원 손질 택배 10 000원 별도 8 5 1 2어필님 + 1 2정열혼님 8 6 기쿠님 서해 암치홍어 목포 어선이 서해 흑산 부근에서 어획한 홍어입니다 kg당 18 000원 택배 5 000원 별도 8 8 1 8 2 8 3 8 3 8 3 8 5 8 7 8 8 9 남도바다님 8 남도바다님 생물 민물새우 물때에 따라 작업되므로 예약 받습니다 영산강과 바닷물이 섞이는 곳에서 어획되고 생으로 무침하거나 여러 요리에 넣으면 맛내기로 또는 김장용 새우로도 아주 좋습니다 민물 새우 2kg 42 000원 추가시 kg당 18 500원 냉동 민물새우 할인판매 싱싱한 새우로 입고 되어 냉동하였습니다 민물 새우 2kg 40 000원 추가시 2kg당 35 000원 닭도리탕님의 민물새우젓 생물 동백하 예약 받습니다 신선도 좋은 참새우 동백하로 매입합니다 대태기가 섞이지 않은 참새우 입니다 생으로 무침이나 다양한 요리에 맛내기로 넣으셔도 되고 김장 계획이 있으시면 냉동보관했다가 사용하셔도 됩니다 냉동 동백하 신선도 좋은 참새우 동백하로 냉동하였습니다 대태기가 섞이지 않은 참새우 입니다 생으로 무침이나 다양한 요리에 맛내기로 넣으셔도 되고 김장 계획이 있으시면 냉동보관했다가 사용하셔도 됩니다 2kg 22 000원 추가시 2kg당 17 000원 세하새우 냉동 할인판매 서해연안 민물과 바닷물이 섞이는 바다 에서 어획되는 가장 작은 바다 새우입니다 생물은 물때에 따라서 작업되므로 예약 받습니다 냉동 세하 2kg 22 000원 추가시 2kg당 17 000원 4kg 한정판매 소소님의 세하젓 구름저편에님의 세하 전 양념 젓갈 담그셔도 되고 생으로 무침하시면 소금이나 멸치액젓으로 간하여 밑반찬으로 맛있게 드실수 있습니다 자하 세하 새우 이야기 자하 세하 새우에 대하여 검색한 내용입니다 봄이 오면 만물이 생동합니다 들에는 봄나물 바다에는 자하 세하 가 겨우네 지쳐있던 우리네 입맛을 생기있게 자극합니다 입맛없고 밥맛이 없다 cafe daum net 새꼬막 13일 발송으로 예약받습니다 요즘 나오는 꼬막 중에서 굵은 꼬막으로 보내드립니다 매일 채취되는 자연 환경에 따라서 약간의 차이가 있을 수 있습니다 kg당 70개 전 후 입니다 2kg 23 000원 추가시 kg당 9 000원 꼬막을 씻을때 흐르는 물에 바락바락 주무르면서 3 4번 정도 반복하여 맑은 물이 나올때까지 씻은 후 소금물에 담그고 검은 봉지를 씌운 후 2시간 정도 해감하고 다시 두세번 씻어줍니다 바락바락 씻으면 뻘이 들어 있는 빈꼬막이나 상태가 안좋아서 벌어지는 꼬막은 선별해낼수 있습니다 꼬막을 해감할 때 물에 식초를 1 2숟가락 넣어주면 30분 만에 해감할 수 있고 비린내도 제거된다고 합니다 꼬막 맛있게 삶는 방법 서서히 물이 끓여지고 잠잠하던 꼬막이 서서히 탁 하고 벌어질때 그때 불을 끈다 그리고 망에 걸러 물과 꼬막을 다 따라버리고 다시 채에 걸린 그 꼬막을 아직 뜨거운 그 냄비에 다시 쏟아붓고 3분정도 뚜껑을 닫고 기다린다 아직 뜨거운 그 냄비 안의 열기에 나머지 꼬막들도 다 입을 벌리게 되고 육즙도 그대로 담겨있고 가장 맛있다 소소의 꼬막장조림과 초무침 대청도 암치홍어 대청도 홍어는 주낙으로 어획합니다 해동지나 키친타월에 싸서 밀폐용기에 넣어 1 2개월 냉장 보관하시면서 다양한 맛으로 홍어를 즐기실 수 있습니다 kg당 20 000원 택배 도막손질 10 000원 별도 중간숙성 8 8 생물 대청도 홍어 6 7 6 7 7 보연이큰고모님 애부터 한 점 참기름에 냠냠해주고요 남은 건 나중에 홍어탕에 넣으면 구수한 맛이 배가 됩니다 홍어 한 마리 먹어치울 때 제가 정말 좋아하는 건 바로 요 홍어회무침 홍어회무침은 홍어와 친하지 않은 분들이라도 즐길 수 있는 친근한 맛일 겁니다 굵은 무채를 소금에 절여 물기 꼭 짜고 아삭이는 배랑 생미나리 넣으면 난 참 좋던데 날개 한쪽 떼어서 홍어찜을 해줘도 온 가족이 즐길 수 있는 일품요리가 되고요 벗겨놓은 껍질이랑 뼈랑 이거 저거 잡동사니에 애 한 조각 넣고 끓여주는 이 매력적인 홍어탕 오늘처럼 비 오는 으슬으슬한 날은 이런 국물 한 숟가락 먹으면 사는 게 행복해질 것 같습니다 고춧가루와 깨소금 뿌려서 요렇게 먹어도 홍어의 참맛이 느껴지죠 손질 신청 시 이렇게 도막 손질하여 보내드립니다 홍어 손질하기 자연산 돌굴 남해굴 13일 발송으로 예약받습니다 한 박스에 800g 정도로 작업되어 있습니다 산지 작업되어 입고된 상태 그대로 보내드리구요 계근하실때 물기 제거 상태에 따라 무게 차이가 있을 수 있습니다 한 박스 26 000원 추가시 한 박스당 21 000원 양식굴 13일 발송으로 예약받습니다 한 박스에 800g 정도 400g 2봉지 입니다 반 양식 반 자연산 굴입니다 산지 작업되어 입고된 상태 그대로 보내드리구요 계근하실때 물기 제거 상태에 따라 무게 차이가 있을 수 있습니다 한 박스 25 000원 추가시 한 박스당 20 000원 굴의 계절 굴요리 모음 깐 굴 씻는 방법 1 깐 굴을 웍이나 냄비에 넣고 굴이 잠길 정도의 물을 부어줍니다 2 굵은 소금 1 2 큰술을 넣어줍니다 3 수저로 부드럽게 저어주면서 씻어줍니다 계속 저으면 물이 까맣게 변하는데 이럴때 소금물로 2 3회 정도 더 씻어줍니다 4 손으로 씻으면 체온으로 맛이 떨어질수 있으나 쩍을 완전히 제거하기 위해서는 손으로 살살 만지면서 씻는게 안전합니다 5 흐르는 물에 헹구고 체에 받혀서 물기를 제거해줍니다 각굴 양식 여수 13일 발송으로 예약받습니다 알맹이가 실하여 찜 구이로 드셔도 맛있습니다 각굴은 다른 품목과 합포장을 할 수 없습니다 10kg한 망 27 000원 홍가리비 남해 13일 발송으로 예약받습니다 가을의 별미입니다 kg당 22개 정도의 크기이고 찜이나 구이로 드시면 달고 맛있습니다 얼음을 넣어서 배송하므로 배송 중에 입이 벌어지는 것도 있지만 신선도는 문제없습니다 흐르는 물에 솔로 껍질을 깨끗이 씻고 여러 번 헹구어 삶으면 삼삼하고 시원한 국물까지 드실 수 있습니다 찜기에 붓는 물은 수증기를 만들어주는 역할만 할 수 있게 한 컵 정도만 붓고 소주 또는 정종이나 미림 를 약간 소주잔 2컵 정도 넣고 삶을 때 입을 벌리기 시작하면 4 5분 정도 더 삶으세요 익으면서 가리비 안의 물이 많이 나옵니다 너무 오래 삶으면 알맹이가 작아집니다 3kg 23 000원 추가 시 kg당 6 000원 大흰다리새우 냉동 kg당 21 23미 정도의 활흰다리 새우로 냉동하였습니다 2kg 47 000원 추가시 kg당 21 000원 中大흰다리새우 냉동 kg당 24 28마리 정도의 활흰다리 새우를 냉동하였습니다 2kg 45 000원 추가시 kg당 20 000원 국산홍어회 1k 60 000원 대청도 암치 홍어로 회손질하여 보내드립니다 날개살 볼살 꼬리 살 가슴살 홍어 코 부위별로 골고루 넣어서 2단 4줄로 채웁니다 받으시면 바로 냉장 보관하세요 알래스카 숙성 홍어회 1kg 45 000원 받으시면 바로 냉장 보관하세요 특가 중멸치 맛있는 흑산도 멸치 30박스 한정판매합니다 1박스 26 000원 추가시 1박스당 21 000원 진도 다시멸 5월에 건조한 멸치로 냉동실에서 약간의 변색이 있지만 국물맛이 좋은 진도 다시멸입니다 1박스 1 5kg 27 000원 추가시 1박스당 22 000원 흑산 다시멸 최근 건조하여 변색이 없는 흑산 다시멸이고 굵은 다시멸은 아니고 크기는 섞여 있습니다 1박스 1 5kg 25 000원 추가시 1박스당 20 000원 특최상품 햇곱창김 꼬들꼬들한 원초 곱창김 량을 많이 넣어 건조하였으므로 두툼하여 특 최상품으로 맛있는 신안 햇곱창김입니다 볼펜 길치 참조하세요 1톳 100장 27 000원 추가시 1톳 22 000원 특상품 햇곱창김 최상품 곱창김 보다는 부피가 조금 더 작고 부드럽고 맛있는 신안 햇곱창김입니다 위 특상품 햇곱창김과 비교 볼펜 길치 참조하세요 1톳 100장 20 000원 추가시 1톳 15 000원 건조갑오징어 진도 10마리에 900g 1kg 정도입니다 10마리 100 000원 택배 4 000원 별도 건조배오징어 배에서 건조하여 20마리 한축에 1 7kg 전 후입니다 배에서 어획하여 바로 건조한 맛있는 건조오징어입니다 20마리 126 000원 택배 4 000원 별도 10마리 63 000원 택배 4 000원 별도 외병도 자연산 돌미역 외병도의 조류가 쌘 곳에서 채취하여 전체적으로 줄기보다는 잎의 비중이 많고 너무 자라지 않은 미역으로 건조하였기에 부드럽고 여러번 끓여도 퍼지지 않으면서 자연산 특유의 식감이 있는 상급 품질의 자연산 미역입니다 자연산 돌미역은 끓일수록 진한 국물이 나오고 풀어지지 않으며 자연산 특유의 식감으로 맛있는 미역국을 드실 수 있습니다 맛과 영양이 풍부하여 산모용 미역으로 추천해드립니다 부드럽고 매끈한 미역을 찾는 분들은 양식 가공 미역이 좋습니다 올해는 자연산 미역이 잘 되어서 예년보다 착한 가격입니다 외병도는 5 6가구가 사는 작은 섬마을입니다 대부분 할머니들인데요 올해 채취한 미역을 판매해달라고 갖다주셨습니다 할머니들이 채취한 귀한 미역을 카페 회원님들께 판매할 수 있어서 감사하고 참 좋습니다 자연건조라서 약간씩 노란 부위가 있습니다 받으시면 밀봉하여 습도가 들어가지 않게 보관하세요 외병도 자연산돌미역 길이 95cm 넓이 20cm 정도 건조 정도에 따라서 170 200g 정도로 차이가 있습니다 1가닥 25 000원 택배 5 000원 별도 자연산 미역 한 뭇의 사진이며 20가닥 입니다 관매도 大각 자연산 돌미역 진도 관매도는 조류가 세서 관매도 자연산 미역이 특산품입니다 오래 끓여도 식감이 살아 있는 자연산 돌미역입니다 예년에 비해 착한 가격입니다 받으시면 밀봉하여 습도가 들어가지 않게 보관하세요 관매도 大각 자연산돌미역 길이 100cm 넓이 30cm 정도 1가닥 무게는 220g 230g 정도입니다 건조 상태에 따라서 약간의 무게 차이는 있을 수 있습니다 1가닥 30 000원 택배 5 000원 별도 미역 전용 종이 박스로 포장하여 보내드립니다 황석어젓 봄 가을의 선선함과 무더운 여름철 그늘진 곳에서 맛있게 숙성된 황석어젓입니다 김장 담글 때 무침 반찬으로 풋고추 넣은 젓갈 장아찌로 드시면 좋습니다 꼬신 내가 진동을 한다면 무슨 맛 인지 느낌이 오시나요 고춧가루 통깨 청양고추 마늘 넣어 무침으로 드시면 맛있어서 또 먹고 싶어지는 밑반찬입니다 5kg 33 000원 10kg 63 000원 5k 두통 묶어서 보내드립니다 싱싱한 완도 활전복 싱싱한 완도 활전복 대상수산 목포시 고하대로 597번길1 010 3649 0583 061 244 1778 FAX 061 245 3539 기업 011 649 0583 김순희수협 593 62 114397 김순희입금자 성함이 다를때는 미리 알려주세요 cafe daum net 건조생선 알배기 참조기 참돔 병어 농어 장대 부세 보리굴비 참조기 영광굴비 찐부세보리굴비 자반고등어 건조생선 알배기 참조기 참돔 병어 농어 장대 부세 보리굴비 참조기 영광굴비 찐부세보리굴비 대상수산 목포시 고하대로 597번길1 010 3649 0583 061 244 1778 FAX 061 245 3539 기업 011 649 0583 김순희수협 593 62 114397 김순희입금자 성함이 다를때는 미리 알려주세요 cafe daum net 붉새우젓 멸치액젓 젓갈쌈장 22년 신안 추젓 추가매입 멸치육젓 붉새우젓 멸치액젓 젓갈쌈장 대상수산 목포시 고하대로 597번 길 1 010 3649 0583 061 244 1778 FAX 061 245 3539 기업 011 649 0583 김순희수협 593 62 114397 김순희입금자 성함이 다를때는 미리 알려주세요 cafe daum net 22년 외병도 관매도 자연산 돌미역 22년 외병도 관매도 자연산 돌미역 대상 수산 목포시 고하대로 597번 길 1 010 3649 0583 061 244 1778 FAX 061 245 3539 기업 011 649 0583 김순희수협 593 62 114397 김순희입금자 성함이 다를때는 미리 알려주세요 cafe daum net 건어물 멸치 풀치 김 파래김 미역 다시마 미역귀 우뭇가사리 홍합살 꼴뚜기 새우 감태 밥새우 갈파래 갑오징어 쥐포 배오징어 마른명태 건어물 멸치 풀치 김 파래김 미역 다시마 미역귀 우뭇가사리 홍합살 꼴뚜기 새우 감태 밥새우 갈 대상수산 목포시 고하대로 597번길 1 061 244 1778 010 3649 0583 건어물 가격만 아래 김 종복님 계좌로 입금해주세요 제일은행 스텐다드차타드 SC 726 20 221225 김 종복 목포에서 건어물 중매인을 cafe daum net 배송 조회 및 개인 거래내역을 확인하세요 거래장 로그인하실 때는 택배 물품을 받는 분의 정보를 입력하셔야 합니다 주문자의 정보를 입력하면 조회가 되지 않습니다 ex 방문하여 로그인하기 이름 택배 받는 분 이름 주문자 닉네임 ex 김순희 대상 순희 전화번호 택배 받는 분 전화번호 ex 010 3649 0583 비밀번호 전화번호 뒷 네 자리 변경 가능 ex 0583,정상,,,2,11,22
54,8109,다음주 토요일 언제돼,정상,,,3,5,7
55,28808,둘을 비교해서 수구보수 보다 도둑질을 덜하고도 욕을 더 먹는 이유는 간단합니다 진보가 정권을 잡을때마다 수구보수의 비리를 비판하며 우리는 저렇지 않을 것이라고 하면서 정권을 잡습니다 우리도 저놈들처럼 비리는 똑같을테지만 정치적 방향만 진보적성향이다라고 하고 잡은 정권이 아니거든요,정상,,,8,0,17
56,7933,지금 경기도쪽에서 살고있는데 인구가 대구보다 훨 적은거 감안하고도 노인비율이 엄청 적음 눈에 보이는 사람들은 적지만 대부분 젊은사람들이야 여기있으니까 울나라가 고령화라는거 체감안댕 물가나 집값은 여기가 높다곤 하는데 잘 모르겠어 집값은 여기 괜찮은곳 들어오고서 관심끊었고 대형마트나 인터넷쇼핑으로 돈쓰고 다른거 지출 잘 없어서 몰라용가리 대도시인 대구에 비해서 한적한하긴 한데 공기좋은지도 모르겠고 원래 살던곳이 자기랑 젤 잘맞아서 다들 고향으로 돌아가는건가 여기 집 계약끝나면 다시 대구로 돌아갈랭 댓글안달면 지상렬,정상,,,5,14,0
62,24142,할머니의 핵직구,정상,,,3,18,11
63,10829,여야를 막론하고 젠더이슈 공부 안하고 말하면 안된다 벌집에 맨몸으로 덤비는 꼴,정상,,,5,17,26
66,5493,"제목이 거슬리는건 저만 그런가요...? 흠... 홍어 비싼뎅... 경상도 창원 토박인데... 홍어에 환장합니다...ㅋㅋㅋㅋ  전라도비하 발언식으로 홍어...많이들 이야기 하시는듯한데... 외국인들이 한국인보고 김치냄새, 젓갈냄새...하며 경멸하는듯한 눈쌀...또한 같은 맥락이라 생각합니다.  아직까지 전라디언이니, 경상디언이니... 쓸데없는 논쟁을 하시는 분들 보면 참... 한심하기 짝이 없어 보이는 1인입니다.",맥락적 정상,['지역'],['호남권'],7,15,18
69,27446,입뽀뽀하는애는 못봄,정상,,,9,9,14
70,12482,개인적으로는 족발+토종순대+곱창의 삼합이면 아주 좋겠습니다,정상,,,2,0,1
71,10430,풋챔까지 같이 깔려고그래서 퀴어축제 언제라고,정상,,,7,5,23
73,9659,안 본 뇌 삽니다,정상,,,3,0,7
75,15599,MB때 인사들은 왜 다 저 모양이냐 하루걸러 비리에 입만 열면 거짓말 국민이 두렵지도 않은가,정상,,,9,9,4
76,28040,이게 사실 코인으로 정부 욕하는 놈들의 배후를 밝히는 단어라 본다 상식적으로 공산주의가 여기에 낄 일이 없는 개념인데 욕하는 것들은 공산주의를 외쳐 근데 우리 정치사에 뻑하면 공산주의 떠들던 집단 있었잖아 종북좌빨반공 외치던 세력말야 결국 그 놈들 휘하에 현재 활동중인 댓글부대가 소속하고 있단거지,맥락적 정상,['정치'],['진보계열'],8,3,19
79,22185,같이 일한지 이제 거의 한달 되가는데 같이 대화좀 하다가 점점 내용이 깊어지고 진지해지더니 요즘 쉴때나 어디 앉아 있을때 맞은편에 앉지 말고 옆에서 앉으라고 하고 내 엉덩이 쪽에 손 얹어놓고 가끔가다가 우리집에 놀러와라 연락 자주하자 이런말함 게이인건 존중하겠는데 피해 좀 주지 않았음 좋겠네 시불탱 싫다고 티를 내도 이러냐,정상,,,5,14,26
91,8587,"짱깨,쪽바리등이있는데 다른나라는 우리나라를 뭐라고할까요",맥락적 정상,['인종'],"['중국', '일반외국인']",9,9,19
92,25899,어제 지하철 화장실을 가서 걍 아무생각없이 일보는데 소변기에 침 정말 엄청 뱉어 놓네요 그나마 물 내려가는 곳에 뱉어서 흘려버리면 나은데 일부로 그런건지 소변기 맨 위에다 엄청 뱉어 놓았더라고요 침 뱉고 싶으면 세면대 가서 뱉고 물 틀으면 되는데 그거 하나 못 참아서 소변기 위에다가 그렇게 뱉어 놓는지 게다가 몸이 불편한 사람들을 위한 장애인용 소변기엔 철봉 같은거 설치 해놓았는데 거기도 침 범벅이더라고요 거기에 몸을 기대야 할텐데 정말 토나오게 뱉어 놨더라고요 화장실 바닥에도 뭐 기본으로 뱉은 자국 있고요 어휴 이런 사람들이야 말로 정말 무식한 사람인거 같아요,정상,,,5,17,26
93,24952,남편 인생 조졌네,정상,,,5,16,11
94,28622,그게 좋은거여,정상,,,3,18,23
95,24275,맛집 찾는 법 1 택시 아저씨한테 물어본다 2 전라도를 간다,정상,,,1,10,0
97,17127,그렇네 보통의 도박중독이네,정상,,,2,10,0
99,420,셀프서비스 애초에 파산 안하면 다행 ㄹㅇㅋㅋ,정상,,,2,11,22
100,9500,편의점도 많다고 생각했는데 교회는 편의점에 비해서 넘사벽이네요 ㅋㅋㅋ 치킨집보다 적습니다 교회가 진짜 많긴 많네요,정상,,,4,4,27
104,3622,모기시키들이 가을에 설치는거구나,정상,,,7,10,0
107,23861,택뱅리쌍 오셨네 ㅋㅋ,정상,,,3,5,23
108,29146,육갑 on,정상,,,2,18,25
109,27496,9칸에서 가운데 중앙에 머리 맞추고 발만 바닥쪽에 맞춰주고서있는 상태에서 최대한 아래에서 위로 찍어주면남자한테 칭찬 받을 수 있음요로코롬 찍으면 나오는 결과물이대충 요런 느낌우리 모두 꿀팁 숙지하고 미래에 칭찬받는 패붕이가 되자,정상,,,6,17,1
111,20984,"앞서 남 의원은 사건 당시 임순영 서울시 젠더특보에게 박 전 시장의 성추행 피소 사실을 유출했다는 의혹에 휘말린 바 있다 피해자는 남 의원을 향해 법적 절차를 밟아 잘못된 행위에 대한 사과를 받고 상대방을 용서할 수도 있었을 텐데, 그 모든 기회를 남 의원 등 세 사람이 박탈했다 며 내게 진심으로 사과하고 의원직을 내려놓으라 고 요구했다 남 의원은 피해자의 이같은 요구에도 침묵하다 인권위 결정이 나온 뒤에야 비로소 페이스북에 사과의 뜻을 밝혔다 다만 피해자가 요구한 의원직 사퇴와 관련해서는 자신의 입장을 밝히지 않았다 남인순 더불어민주당 의원이 26일 박원순 전 서울시장의 비서 성희롱 사건과 관련해 국가인권위원회의 직권 조사 결과를 겸허히 받아들이고 피해자에게 깊이 사과드린다 고 밝혔다 인권위는 전날 박 전 시장이 피해자에게 한 성적 언동의 일부를 사실로 인정, 성희롱에 해당한다는 판단을 내렸다",정상,,,8,7,17
113,12924,그런데 진짜 불매하게 없네요 굴직한 제품은 국산이고 저가는 중국산이네요,정상,,,0,8,15
115,3507,존경받는 배우가 될려면,정상,,,7,0,14
116,18681,저때는 핵펀치 대신 155mm 고폭탄펀치는 될듯,정상,,,2,0,1
119,6691,겉표지는 종교 선전하는 내용이 아닌 전단지로 도로가에서 여자 꼬마애들이 돌리네요 ㅡㅡ,정상,,,4,4,27
120,18422,ㅠㅠ 웃지마 ㅠㅠ,정상,,,3,6,12
121,24767,페미 선언하고 군대가면 되는거냐,정상,,,8,3,21
122,747,미디어 홍어 김치X 똥꼬충 특정집단 모욕게시물 삭제가능 한국인터넷정책자율기구 온라인 공간 차별적 표현 완화 정책시행,맥락적 정상,"['성소수자', '지역', '젠더']","['호남권', '일반여성', '게이관련']",8,2,5
125,5780,이 여자 무슨 커뮤니티하는거임 네이트인가 그건가 한남충이 한국남자 비하하는거 맞지 ㅋㅋ,맥락적 정상,['젠더'],['일반남성'],6,12,13
127,12615,산뜻한 봄내음과 어울리는 남자 st로가디건과 니트 그리고 달다구리한 향수를 뿌려주면초미녀 신입생들과 연이은 술약속에 못오게 돼버릴지도 웃음,정상,,,6,12,13
